upgrade_percent,total_energy_Wh,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_drops
0,3583302.929082399,12.631859695897166,12.483558262470588,20.097383931712393,92215
10,3442052.40313687,12.56463644605046,12.423555710552645,19.976304121008255,92216
20,3300801.645699411,12.513902790678578,12.375696901066398,19.91845025993021,92218
30,3159554.406102269,12.468120113302787,12.334949109287976,19.846299866704662,92216
40,3018299.791414003,12.411357481440392,12.287575594655749,19.787716721981937,92229
50,2877049.132574069,12.370915887842909,12.238433367799104,19.71815244085523,92224
60,2735757.57717151,12.311734246159846,12.182417659513291,19.589640006920988,92220
70,2594401.8810430784,12.155630225495146,12.070342947937103,19.24995507302865,92214
80,2452988.8279519025,12.04669419304781,11.959644663747387,19.058886085199205,92212
90,2311471.070266111,11.8742779805366,11.78575773128162,18.776181641244058,92201
100,2169277.049514401,11.256107370258714,11.182870646850581,17.97277771545295,92179
